,Timestamps,Number of Bursts,ISIn,ISIn2,PS,MI,RS,CMA
0,2794,279,87,87,41,133,2,52
1,3053,310,95,95,58,146,4,34
2,2948,283,98,98,44,159,7,53
3,3009,302,95,95,53,139,7,39
4,3229,323,92,92,1,157,4,53
5,3181,313,99,99,56,140,4,47
6,2893,293,93,93,43,155,1,55
7,2926,290,90,90,57,146,4,59
8,3035,302,89,89,62,143,6,61
9,3269,318,89,89,50,153,4,62
10,2964,294,85,85,51,141,2,57
11,3144,310,92,92,59,146,5,59
12,3021,304,89,89,56,139,5,46
13,2865,295,89,89,40,143,0,46
14,2840,280,92,92,44,152,4,59
15,3132,314,98,98,2,147,2,39
16,2939,299,98,98,35,146,2,37
17,3155,324,98,98,1,154,2,36
18,2755,277,90,90,45,143,1,45
19,2798,283,94,94,44,142,6,59
20,2880,283,88,88,48,135,4,37
21,3231,324,91,91,48,142,6,126
22,3178,313,96,96,45,161,5,45
23,2990,298,90,90,45,147,6,39
24,2904,286,93,93,49,148,2,41
25,3021,307,96,96,50,149,2,45
26,3073,298,97,97,57,134,7,52
27,3097,302,97,97,55,141,6,57
28,2974,304,90,90,50,143,2,47
29,2922,291,84,84,57,138,2,45
30,2989,294,92,92,50,146,0,130
31,3035,306,99,99,46,154,7,54
32,3032,296,89,89,53,144,7,57
33,2861,285,95,95,47,148,6,43
34,2657,261,89,89,36,148,1,39
35,3042,296,97,97,44,143,6,46
36,2777,279,99,99,36,146,4,55
37,3018,292,94,94,36,153,4,35
38,2905,289,94,94,56,132,2,42
39,2807,284,90,90,46,136,6,42
40,2800,283,91,91,51,148,2,29
41,3205,322,84,84,48,142,3,49
42,3312,329,93,93,62,152,6,41
43,3008,304,94,94,56,146,4,39
44,3038,319,89,89,0,153,1,140
45,2785,288,96,96,41,155,5,139
46,3221,310,93,93,60,139,10,52
47,3103,303,100,100,55,154,5,60
48,2946,300,96,96,4,155,6,48
49,2886,287,85,85,51,142,4,63
50,3274,328,95,95,17,160,5,40
51,2813,280,82,82,52,140,7,42
52,2522,264,102,102,33,148,2,53
53,2852,298,96,96,38,152,3,142
54,2893,294,89,89,50,145,4,64
55,3184,308,103,103,32,156,6,149
56,2780,287,88,88,47,138,2,41
57,3204,322,87,87,52,154,7,47
58,3029,301,99,99,59,141,3,46
59,2932,295,90,90,47,145,6,56
60,3166,315,101,101,45,167,4,40
61,2736,275,89,89,44,148,6,52
62,3012,300,94,94,47,148,8,43
63,2837,286,95,95,38,153,4,60
64,2856,279,92,92,51,137,4,55
65,2788,278,86,86,44,147,2,44
66,3080,315,95,95,46,156,6,45
67,2870,290,92,92,45,141,5,138
68,3235,320,93,93,52,149,5,55
69,2602,257,86,86,15,136,3,46
70,2951,287,94,94,19,147,4,50
71,3140,315,94,94,48,158,3,51
72,3309,327,90,90,60,154,11,58
73,3058,299,92,92,2,148,5,49
74,2959,293,97,97,49,143,5,49
75,3066,306,105,105,42,157,4,49
76,3059,305,96,96,0,158,2,57
77,3152,310,88,88,53,155,7,47
78,2973,296,99,99,24,148,2,49
79,3018,298,89,89,44,146,4,53
80,2618,263,95,95,38,146,4,57
81,3170,313,90,90,56,144,8,34
82,3090,312,96,96,48,145,4,50
83,2917,294,91,91,45,136,4,34
84,2881,284,91,91,47,148,3,56
85,2920,286,99,99,50,147,3,47
86,3093,304,94,94,51,159,6,43
87,3043,307,95,95,50,146,2,37
88,2803,284,85,85,52,147,2,34
89,2863,291,90,90,26,140,3,52
90,2673,264,89,89,46,143,7,45
91,2937,295,91,91,40,147,5,139
92,2947,290,88,88,53,137,3,43
93,3025,303,105,105,48,149,6,57
94,2754,276,95,95,47,145,6,61
95,2812,284,90,90,45,147,2,57
96,2929,297,101,101,47,151,2,60
97,2930,285,83,83,45,156,4,38
98,3174,316,93,93,46,143,4,38
99,2832,282,93,93,43,146,4,48
